time,x,equation,abc,value,res,res squared,,
1.600000024,0.175028905,1.8735E+16,,,1.8735E+16,,,
1.610000014,0.175643757,1.88521E+16,,,1.88521E+16,,,
1.620000005,0.176436707,1.89692E+16,,,1.89692E+16,,,
1.629999995,0.177040607,1.90863E+16,,,1.90863E+16,,,
1.639999986,0.177644521,1.92033E+16,,,1.92033E+16,,,
1.649999976,0.17824845,1.93204E+16,,,1.93204E+16,,,
1.659999967,0.1788349,1.94375E+16,,,1.94375E+16,,,
1.669999957,0.17925626,1.95546E+16,,,1.95546E+16,,,
1.679999948,0.179840103,1.96717E+16,,,1.96717E+16,,,
1.690000057,0.180264056,1.97888E+16,,,1.97888E+16,,,
1.700000048,0.180845305,1.99059E+16,,,1.99059E+16,,,
1.710000038,0.181247905,2.0023E+16,,,2.0023E+16,,,
1.720000029,0.181625247,2.01401E+16,,,2.01401E+16,,,
1.730000019,0.181826562,2.02572E+16,,,2.02572E+16,,,
1.74000001,0.182027861,2.03743E+16,,,2.03743E+16,,,
1.75,0.182229176,2.04914E+16,,,2.04914E+16,,,
1.75999999,0.182430476,2.06085E+16,,,2.06085E+16,,,
1.769999981,0.182631776,2.07256E+16,,,2.07256E+16,,,
1.779999971,0.182866171,2.08427E+16,,,2.08427E+16,,,
1.789999962,0.183234379,2.09598E+16,,,2.09598E+16,,,
1.799999952,0.183435678,2.10768E+16,,,2.10768E+16,,,
1.809999943,0.183636993,2.11939E+16,,,2.11939E+16,,,
1.820000052,0.183838293,2.1311E+16,,,2.1311E+16,,,
